date,text,user
2013-08-27T01:02:01.000Z,Critic’s Notebook: Madden NFL 25 Portrays ‘Real’ Football http://nyti.ms/18WQv7Z,/nytimes
2013-08-29T04:20:00.000Z,"Read our full in-depth story about NFL player turned murder suspect, Aaron Hernandez: http://rol.st/1drvMiv",/RollingStone
2013-08-31T16:45:07.000Z,Patriots drop Tim Tebow after just 12 weeks; NFL career may be over http://nyp.st/1dBMP1D,/nypost
2013-08-28T22:52:44.000Z,"How a talented NFL player became the gangster in the huddle, our profile on Aaron Hernandez: http://rol.st/17msYw7",/RollingStone
2013-08-27T09:06:12.000Z,Lamar Odom -- The NBA Drug Trail http://tmz.me/19JuCtL,/TMZ
2013-07-11T19:52:01.000Z,Lamar Odom -- Khloe Questions SET OFF NBA Star http://tmz.me/11FzrEb,/TMZ
2013-08-16T06:37:42.000Z,#MLB set to approve expanded instant replay in 2014 http://fxn.ws/143U2kS,/FoxNews
2013-08-28T01:45:13.000Z,Earlier: Lamar Odom -- The NBA Drug Trail http://tmz.me/19JuCtL,/TMZ
2013-08-17T07:03:02.000Z,Justin Bieber -- Shirt Comes Off When NBA Friends Come Over http://tmz.me/14IwBsY,/TMZ
2013-08-27T20:16:14.000Z,Earlier today: Lamar Odom -- The NBA Drug Trail http://tmz.me/19JuCtL,/TMZ
2013-07-08T19:09:58.000Z,50 Cent DROPPED from MLB All-Star Bash After Domestic Violence Charge http://tmz.me/1dbfFjJ,/TMZ
2013-08-31T15:23:07.000Z,"Aaron Hernandez was a promising NFL player, but he could never escape drugs, guns and a life of violence: http://rol.st/14HPCjZ",/RollingStone
2013-08-28T18:06:04.000Z,"Aaron Hernandez might have been one of the NFL's all-time greats, but he could never escape a life of violence: http://rol.st/1aQm732",/RollingStone
2013-08-28T16:58:06.000Z,NBA Star Zach Randolph -- 'Damn Right' I'd Want Lamar Odom On My Team [VIDEO] http://tmz.me/184ESuy,/TMZ
2013-07-17T14:06:03.000Z,NBA Superstar Kenneth Faried -- My Dong Is HUUUUGE http://tmz.me/14dGfZW,/TMZ
2013-08-23T03:29:36.000Z,MLB's Ryan Braun apologizes: 'I have no one to blame but myself.' http://on.cnn.com/16SRuIL,/CNN
2013-07-29T23:36:05.000Z,Body of former MLB pitcher Frank Castillo found in Arizona lake http://fxn.ws/16wtKpy,/FoxNews
2013-08-29T17:37:02.000Z,"NFL, more than 4,500 ex-players reach deal in concussion lawsuit -  NFL would pay $765 million: http://on.cnn.com/1ckIkUR",/CNN
2013-08-21T07:19:03.000Z,NBA Star George Hill -- No Regrets I Chose Kids Over Team USA http://tmz.me/14VhnkB,/TMZ
2013-08-04T23:46:04.000Z,"MLB to reportedly suspend #A-Rod, but allow him to continue playing http://fxn.ws/16VlAap",/FoxNews
2013-08-01T09:51:28.000Z,"Alex Rodriguez, #MLB reportedly negotiating deal to avoid lifetime ban http://fxn.ws/16HwlNx",/FoxNews
2013-09-08T17:58:32.000Z,"Bruno Mars will be headlining the Super Bowl halftime show, the NFL confirmed today: http://rol.st/16crJB9",/RollingStone
2013-10-11T21:49:43.000Z,"BREAKING: The son of reigning NFL MVP Adrian Peterson dies after alleged beating at hands of his mother’s boyfriend, police say.",/FoxNews
2013-10-04T15:02:52.000Z,"BREAKING NEWS:  Alex Rodriguez sues MLB, Selig  http://fxn.ws/1f5qHwn",/FoxNews
2013-10-10T23:42:20.000Z,NBA Star Kendrick Perkins -- ARRESTED ... Allegedly Punched Woman In Face http://tmz.me/19r5adf,/TMZ
2013-10-15T21:50:36.000Z,#Breaking: Adrian Peterson -- NFL Star Has ANOTHER Secret Child http://tmz.me/GXbHSV,/TMZ
2013-10-29T21:42:02.000Z,399 NFL players have been arrested since 2006. Here are the 34 craziest cases: http://rol.st/19QsmBx,/RollingStone
2013-09-08T17:58:32.000Z,"Bruno Mars will be headlining the Super Bowl halftime show, the NFL confirmed today: http://rol.st/16crJB9",/RollingStone
2013-10-11T21:49:43.000Z,"BREAKING: The son of reigning NFL MVP Adrian Peterson dies after alleged beating at hands of his mother’s boyfriend, police say.",/FoxNews
2013-10-04T15:02:52.000Z,"BREAKING NEWS:  Alex Rodriguez sues MLB, Selig  http://fxn.ws/1f5qHwn",/FoxNews
2013-10-10T23:42:20.000Z,NBA Star Kendrick Perkins -- ARRESTED ... Allegedly Punched Woman In Face http://tmz.me/19r5adf,/TMZ
2013-10-15T21:50:36.000Z,#Breaking: Adrian Peterson -- NFL Star Has ANOTHER Secret Child http://tmz.me/GXbHSV,/TMZ
2013-10-29T21:42:02.000Z,399 NFL players have been arrested since 2006. Here are the 34 craziest cases: http://rol.st/19QsmBx,/RollingStone
2013-09-08T17:58:32.000Z,"Bruno Mars will be headlining the Super Bowl halftime show, the NFL confirmed today: http://rol.st/16crJB9",/RollingStone
2013-10-11T21:49:43.000Z,"BREAKING: The son of reigning NFL MVP Adrian Peterson dies after alleged beating at hands of his mother’s boyfriend, police say.",/FoxNews
2013-10-04T15:02:52.000Z,"BREAKING NEWS:  Alex Rodriguez sues MLB, Selig  http://fxn.ws/1f5qHwn",/FoxNews
2013-10-10T23:42:20.000Z,NBA Star Kendrick Perkins -- ARRESTED ... Allegedly Punched Woman In Face http://tmz.me/19r5adf,/TMZ
2013-10-15T21:50:36.000Z,#Breaking: Adrian Peterson -- NFL Star Has ANOTHER Secret Child http://tmz.me/GXbHSV,/TMZ
2013-10-29T21:42:02.000Z,399 NFL players have been arrested since 2006. Here are the 34 craziest cases: http://rol.st/19QsmBx,/RollingStone
2013-09-08T17:58:32.000Z,"Bruno Mars will be headlining the Super Bowl halftime show, the NFL confirmed today: http://rol.st/16crJB9",/RollingStone
2013-10-11T21:49:43.000Z,"BREAKING: The son of reigning NFL MVP Adrian Peterson dies after alleged beating at hands of his mother’s boyfriend, police say.",/FoxNews
2013-10-04T15:02:52.000Z,"BREAKING NEWS:  Alex Rodriguez sues MLB, Selig  http://fxn.ws/1f5qHwn",/FoxNews
2013-10-10T23:42:20.000Z,NBA Star Kendrick Perkins -- ARRESTED ... Allegedly Punched Woman In Face http://tmz.me/19r5adf,/TMZ
2013-10-15T21:50:36.000Z,#Breaking: Adrian Peterson -- NFL Star Has ANOTHER Secret Child http://tmz.me/GXbHSV,/TMZ
2013-10-29T21:42:02.000Z,399 NFL players have been arrested since 2006. Here are the 34 craziest cases: http://rol.st/19QsmBx,/RollingStone
2013-09-08T17:58:32.000Z,"Bruno Mars will be headlining the Super Bowl halftime show, the NFL confirmed today: http://rol.st/16crJB9",/RollingStone
2013-10-11T21:49:43.000Z,"BREAKING: The son of reigning NFL MVP Adrian Peterson dies after alleged beating at hands of his mother’s boyfriend, police say.",/FoxNews
2013-10-04T15:02:52.000Z,"BREAKING NEWS:  Alex Rodriguez sues MLB, Selig  http://fxn.ws/1f5qHwn",/FoxNews
2013-10-10T23:42:20.000Z,NBA Star Kendrick Perkins -- ARRESTED ... Allegedly Punched Woman In Face http://tmz.me/19r5adf,/TMZ
2013-10-15T21:50:36.000Z,#Breaking: Adrian Peterson -- NFL Star Has ANOTHER Secret Child http://tmz.me/GXbHSV,/TMZ
2013-10-29T21:42:02.000Z,399 NFL players have been arrested since 2006. Here are the 34 craziest cases: http://rol.st/19QsmBx,/RollingStone
2013-11-25T04:07:00.000Z,"Quitting the NFL: For John Moffitt, the money wasn't worth it http://nyti.ms/1iC1KZJ",/nytimes
2013-12-03T01:31:20.000Z,Punt or go for it? @NYT4thdownbot watches every NFL 4th down and will have the answer http://nyti.ms/1hunveL,/nytimes
2013-11-25T04:07:00.000Z,"Quitting the NFL: For John Moffitt, the money wasn't worth it http://nyti.ms/1iC1KZJ",/nytimes
2013-12-03T01:31:20.000Z,Punt or go for it? @NYT4thdownbot watches every NFL 4th down and will have the answer http://nyti.ms/1hunveL,/nytimes
2013-11-25T04:07:00.000Z,"Quitting the NFL: For John Moffitt, the money wasn't worth it http://nyti.ms/1iC1KZJ",/nytimes
2013-12-03T01:31:20.000Z,Punt or go for it? @NYT4thdownbot watches every NFL 4th down and will have the answer http://nyti.ms/1hunveL,/nytimes
2013-11-25T04:07:00.000Z,"Quitting the NFL: For John Moffitt, the money wasn't worth it http://nyti.ms/1iC1KZJ",/nytimes
2013-12-03T01:31:20.000Z,Punt or go for it? @NYT4thdownbot watches every NFL 4th down and will have the answer http://nyti.ms/1hunveL,/nytimes
